file	faded	balanced	dyn	sat_med	cast_mag	ch_spread
Image_20260301_0001.jpg	0.284464	0.727024	0.858824	0.000000	0.000009	0.000000
Image_20260301_0002.jpg	0.300000	0.700000	0.898039	0.000000	0.000008	0.000000
Image_20260301_0003.jpg	0.300000	0.700000	0.909804	0.000000	0.000007	0.000000
Image_20260301_0004.jpg	0.288423	0.724384	0.870588	0.000000	0.000010	0.000000
Image_20260301_0005.jpg	0.299804	0.716797	0.886275	0.000000	0.000012	0.000000
Image_20260301_0006.jpg	0.250493	0.749671	0.698039	0.000000	0.000014	0.000000
Image_20260301_0007.jpg	0.251530	0.748980	0.835294	0.000000	0.000010	0.000000
Image_20260301_0008.jpg	0.268951	0.737366	0.776471	0.000000	0.000012	0.000000
Image_20260301_0009.jpg	0.274437	0.733709	0.827451	0.000000	0.000009	0.000000
Image_20260301_0010.jpg	0.265306	0.739796	0.874510	0.000000	0.000012	0.000000
Image_20260301_0011.jpg	0.300000	0.714392	0.650980	0.000000	0.000010	0.000000
Image_20260301_0012.jpg	0.250428	0.749714	0.768627	0.000000	0.000009	0.000000
Image_20260301_0013.jpg	0.266488	0.739008	0.874510	0.000000	0.000010	0.000000
Image_20260301_0014.jpg	0.250343	0.749771	0.854902	0.000000	0.000009	0.000000
Image_20260301_0015.jpg	0.251927	0.748715	0.862745	0.000000	0.000008	0.000000
Image_20260301_0016.jpg	0.286203	0.725865	0.894118	0.000000	0.000008	0.000000
Image_20260301_0017.jpg	0.251498	0.749001	0.835294	0.000000	0.000010	0.000000
Image_20260301_0018.jpg	0.254722	0.746852	0.870588	0.000000	0.000011	0.000000
Image_20260301_0019.jpg	0.250034	0.749977	0.803922	0.000000	0.000010	0.000000
Image_20260301_0020.jpg	0.270364	0.736424	0.831373	0.000000	0.000011	0.000000
Image_20260301_0021.jpg	0.300000	0.700000	0.894118	0.000000	0.000011	0.000000
Image_20260301_0022.jpg	0.265133	0.739911	0.847059	0.000000	0.000009	0.000000
Image_20260301_0023.jpg	0.300000	0.704113	0.886275	0.000000	0.000009	0.000000
Image_20260301_0024.jpg	0.266242	0.739172	0.819608	0.000000	0.000010	0.000000
Image_20260301_0025.jpg	0.300000	0.709274	0.862745	0.000000	0.000010	0.000000
Image_20260301_0026.jpg	0.250546	0.749636	0.870588	0.000000	0.000012	0.000000
Image_20260301_0027.jpg	0.250093	0.749938	0.850980	0.000000	0.000010	0.000000
Image_20260301_0028.jpg	0.300000	0.700000	0.882353	0.000000	0.000011	0.000000
Image_20260301_0029.jpg	0.300000	0.700000	0.878431	0.000000	0.000011	0.000000
Image_20260301_0030.jpg	0.255568	0.746288	0.886275	0.000000	0.000012	0.000000
Image_20260301_0031.jpg	0.400000	0.711625	0.858426	0.302013	21.223748	0.243517
Image_20260301_0032.jpg	0.283281	0.727813	0.882353	0.000000	0.000010	0.000000
Image_20260301_0033.jpg	0.300000	0.700000	0.901961	0.000000	0.000007	0.000000
Image_20260301_0034.jpg	0.259154	0.743897	0.870588	0.000000	0.000009	0.000000
Image_20260301_0035.jpg	0.283631	0.727579	0.874510	0.000000	0.000010	0.000000
Image_20260301_0036.jpg	0.300000	0.700000	0.874510	0.000000	0.000013	0.000000
